short_id,eligibility_tier,citation,publication_year,primary_intervention_category,exposure_duration_days,outcome_measure,outcome_timepoint,effect_direction,effect_size_reported,habituation_or_tolerance_signal,rob_overall,abstract_only_flag
W4211135645,T1_core,Cheng 2022 (Sleep),2022,sleep_timing,7,Smartphone PVT reaction time (5-min) after night shift,First night shift of each schedule (Table 2),improves,"First shift PVT RT: 0.67 s (morning sleep) vs 0.55 s (evening sleep), p=0.001; adjusted p=0.015 (Table 2). Lapses: 18.5 vs 15.4, p=0.009; adjusted p=0.115.",yes,some_concerns,no
W3180479501,T1_core,Connolly 2021 (BMC Neurology),2021,light,60,PVT mean RT (10-min),end of each 2-month condition (mixed model treatment effect estimate),improves,"Treatment effect estimate -28.36 ms (95% CI -47.48, -9.23), t=-2.91, d=-1.75, p=.004; n=18 for PVT.",no,unclear,no
W3180479501,T1_core,Connolly 2021 (BMC Neurology),2021,light,60,PVT fastest 10% RT (10-min),end of each 2-month condition (mixed model treatment effect estimate),improves,"Treatment effect estimate -15.10 ms (95% CI -25.03, -5.16), t=-2.98, d=-2.98, p=.003; n=18 for PVT.",no,unclear,no
W3200473843,T1_core,Connolly 2021 (Frontiers Neurology; case studies),2021,light,60,PVT mean RT (ms),"Case 2 only: baseline, mid/end treatment, mid/end control",unclear,Case 2 PVT mean RT (ms): 310.44 (baseline) -> 300.03 (mid T) -> 314.75 (end T) -> 288.65 (mid C) -> 268.51 (end C) (Table 2).,unclear,high,no
W2094064988,T1_core,Boudreau 2013 (PLoS ONE),2013,light,7,"PVT median reaction speed (1/RT) (10-min), by time awake","Post-night-shift lab visit (daytime sleep schedule), across wake period",improves,"Median reaction speed: no main effect of adaptation group (p=0.88); main effect of visit (p=0.012); main effect of time awake (p=0.036); 3-way interaction (group×visit×time-awake) p=0.046. During visit 2, adapted group faster than non-adapted after 8–14h awake (p≤0.045).",unclear,some_concerns,no
W1981621779,T1_core,Tanaka 2011 (J Occup Health),2011,light,30,PVT mean RT (msec; 5-min),"Day-shift afternoon break (~14:00-15:00), repeated measures; subset n=11",improves,"Estimated mean RT: 264 ms (non-BL) vs 235.8 ms (BL); diff -28.2 ms (95% CI -46.2, -10.2), F(1,17.0)=11.0, p<0.01 (Table 4).",unclear,some_concerns,no
W1981621779,T1_core,Tanaka 2011 (J Occup Health),2011,light,30,PVT lapses (>500 ms),Day-shift afternoon break; subset n=11,improves,"Estimated lapses: 2.03 (non-BL) vs 0.84 (BL); diff -1.19 (95% CI -1.98, -0.40), F(1,17.4)=10.0, p<0.01 (Table 4).",unclear,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT reaction time / reaction speed (10-min; PVT-192),Monday afternoon after the weekend (post-intervention vs post-control weekend),improves,"Significantly shorter reaction times on Mondays after the intervention vs habitual weekend sleep (p<0.05); overall condition×day interaction F(3,175)=6.01, p=0.001 (Figure 3; Table 1).",yes,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT lapses (>500 ms) (10-min),Monday afternoon after the weekend,improves,"Fewer PVT lapses on Mondays after intervention vs habitual weekend sleep (p<0.05); overall condition×day interaction F(3,175)=4.53, p=0.004 (Figure 3; Table 1).",yes,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT reaction time / reaction speed (10-min),Thursday afternoon after the weekend,worsens,"Significantly longer reaction times on Thursdays after intervention vs habitual weekend sleep (p<0.05), despite Monday improvement; condition×day interaction F(3,175)=6.01, p=0.001 (Figure 3; Table 1).",yes,some_concerns,no
W2128384646,T1_core,Kubo 2011 (Scand J Work Environ Health),2011,sleep_timing,3,PVT lapses (>500 ms) (10-min),Thursday afternoon after the weekend,worsens,"Significantly more lapses on Thursdays after intervention vs habitual weekend sleep (p<0.05); condition×day interaction F(3,175)=4.53, p=0.004 (Figure 3; Table 1).",yes,some_concerns,no
W2165853793,T1_core,Bjorvatn 2007 (Scand J Work Environ Health),2007,melatonin,4,Objective 5-min serial reaction-time test (Palm) at 3 timepoints during shifts,"Nights 1,3,6 and days 1,3,6",unclear,"No significant differences in reaction times when averaged across night shift or day shift. Day shift showed condition×day interaction F(4,44)=4.1, p=0.025 (Table 1), driven by increased reaction times on day 1 after melatonin and bright light (narrative; Figure 4).",unclear,some_concerns,no
W2158979070,T1_core,Smith-Coggins 1997 (Acad Emerg Med),1997,multi,30,PVT (10-min): median RT and lapses,multiple times during shifts; compared across conditions and across shift hours,null,PVT performance comparable regardless of intervention; neither experimental nor active placebo altered PVT (Fig 6). Median RT increased across the night shift when averaged across interventions (p=0.007).,unclear,some_concerns,no
W4394879532,T2_context,Wang 2024 (Buildings),2024,light,8,PVT reaction time (5-min at 10:00),Daily across confinement (reported comparisons day 3/4 vs day 8),worsens,Reaction time decreased on day 3 (practice effect; p=0.050) then increased day-by-day; day 8 reaction time significantly longer than day 3 (p=0.026) and day 4 (p=0.016). Error counts increased trend but not significant.,no,high,no
W4385264619,T2_context,Bogataj 2023 (Aging Clinical and Experimental Research),2023,multi,84,Test of Attentional Performance (TAP) Alertness subtest: reaction time (ms),Pre vs post 12-week intervention; group x time interaction,improves,"Group x time interaction F(1,41)=6.15, p=0.017, eta^2=0.13. Alertness RT (ms): EXP 391±117 -> 348±94 (change +43.3, 95% CI [-8.7, 95.3], p=0.098, ES=+0.37); CON 428±216 -> 455±236 (change -26.7, 95% CI [-52.0, -1.4], p=0.040, ES=-0.48).",no,some_concerns,no
W3132047372,T2_context,Martin 2021 (Chronobiology International) [abstract-only extraction],2021,light,4,PVT (10-min) at beginning and end of each night shift,Across four consecutive night shifts per condition,null,Abstract reports no differences in alertness between conditions in summer or winter study (no effect sizes/p-values provided in abstract).,no,unclear,yes
W3198610695,T2_context,Ochab 2021 (PLoS ONE),2021,sleep_timing,10,Stroop task reaction times (RT),Across baseline vs sleep restriction vs recovery (time-on-task analysis),mixed,Authors report RTs deteriorate during sleep restriction vs baseline and return to baseline during recovery (Table 1 summary: BASE->SR yes (increase); SR->RCV yes (decrease); full return).,yes,some_concerns,no
W3198610695,T2_context,Ochab 2021 (PLoS ONE),2021,sleep_timing,10,Stroop task accuracy (% correct),Across baseline vs sleep restriction vs recovery,worsens,Accuracy decreases during sleep restriction and only partially returns during recovery (Table 1 summary: BASE->SR yes (decrease); SR->RCV partial (increase)).,yes,some_concerns,no
W3040483795,T2_context,Domagalik 2020 (Frontiers in Neuroscience),2020,light,28,PVT (5-min): mean reaction time (ms),Baseline + weeks 1-4; plus 1-week follow-up,worsens,"Group×session interaction: mean RT F(4,144)=2.59, p<0.05, partial η²=0.07 (increase across weeks only in BLB). Follow-up (BLB only): baseline vs week4 vs follow-up F(2,36)=21.79, p<0.001, partial η²=0.55; baseline vs follow-up ns (reversible).",no,some_concerns,no
W3040483795,T2_context,Domagalik 2020 (Frontiers in Neuroscience),2020,light,28,PVT (5-min): omission errors (RT>=500 ms) (%),Baseline vs week4 vs follow-up (BLB only),worsens,"Baseline-weekly group×session for omissions not significant (p=0.25), but BLB baseline vs week4 vs follow-up differed: omission errors F(2,36)=5.15, p<0.05, partial η²=0.22 (post-hoc: baseline vs week4 and week4 vs follow-up significant; baseline vs follow-up ns).",no,some_concerns,no
W3068855346,T2_context,Sunde 2020 (Frontiers in Psychology),2020,light,3,PVT (10-min): fastest 10% reaction time (ms),Across shifts; light×time interaction,mixed,"No light main effect overall (EMM 257.99 vs 259.24 ms; p=0.283), but light×time interaction significant: F(4,807)=2.91, p=0.021; post-hoc differences at later night timepoints (Figure 4; stars at ~04:00 and 05:30).",unclear,some_concerns,no
W3068855346,T2_context,Sunde 2020 (Frontiers in Psychology),2020,light,3,PVT false starts (count per bout),Late night (05:30) during shifts,improves,"Light×time effect: fewer false starts at 05:30 with 7000K vs 2500K: EMM 3.33 (SE 0.57) vs 4.83 (SE 0.93), p=0.040 (reported in results; Figure 3D).",unclear,some_concerns,no
W2912284734,T2_context,Chellappa 2019 (Scientific Reports),2019,sleep_timing,3,Psychomotor Vigilance Task (PVT): 10% slowest reaction times (log-transformed),Day 2; mixed model across time since scheduled wake (7h and 11h); post-hoc at 11h since wake,worsens,"Main effect condition F(1,18)=3.5, p=0.04; condition x time-since-wake interaction F(1,18)=6.6, p=0.02; misalignment slower particularly at 11h since scheduled wake (post-hoc p<0.05).",no,some_concerns,no
W2912284734,T2_context,Chellappa 2019 (Scientific Reports),2019,sleep_timing,3,PVT lapses (log-transformed),Day 2; mixed model across time since scheduled wake (7h and 11h),worsens,"Main effect condition F(1,18)=7.3, p=0.02; condition x time-since-wake interaction F(1,18)=15.4, p=0.001; more lapses under misalignment, particularly later in wake episode.",no,some_concerns,no
W2912284734,T2_context,Chellappa 2019 (Scientific Reports),2019,sleep_timing,3,Digit Symbol Substitution Test (DSST): correct responses per minute,"Day 2; mixed model across time since scheduled wake (5h,7h,9h,11h)",worsens,"No main effect condition (F(1,46)=0.1, p=0.33), but condition x time interaction F(1,46)=6.6, p=0.01; DSST improved over time only under alignment (post-hoc at 11h p<0.05).",no,some_concerns,no
W2912284734,T2_context,Chellappa 2019 (Scientific Reports),2019,sleep_timing,3,Unstable Tracking Task (TKT): number of losses (log-transformed),"Day 2; mixed model across time since scheduled wake (5h,7h,9h,11h)",worsens,"Main effect condition F(1,40)=4.4, p=0.04; condition x time interaction F(1,46)=10.6, p=0.002; losses increased under misalignment beyond 7h since wake (post-hoc p<0.05).",no,some_concerns,no
W2946071698,T2_context,Weibel 2019 (bioRxiv preprint),2019,caffeine,10,"PVT (10-min): lapses (RT>500 ms), z-transformed",Day+night during 43h lab protocol (mixed model),mixed,"More lapses during withdrawal vs placebo/caffeine: main effect condition F(2,51)=6.66, p=0.0027; mean±SD (z) placebo -0.18±0.77, caffeine -0.09±1.04, withdrawal 0.27±1.11; post-hoc withdrawal>both p<0.01.",yes,some_concerns,no
W2793708084,T2_context,Wong 2018 (Frontiers in Human Neuroscience),2018,other,56,PVT median response speed (RS) (20-min PVT),Pre (S1) vs post (S2) MBT (ANCOVA with attendance covariate),worsens,"Session effect F(1,34)=10.571, p=0.003, eta_p^2=0.237; average RS decreased (S1 median 2.97 (SD 0.29) vs S2 median 2.86 (SD 0.28)). Attendance correlated with RS change r=0.322, p=0.055 (higher attendance = less decline).",no,high,no
W2793708084,T2_context,Wong 2018 (Frontiers in Human Neuroscience),2018,other,56,PVT lapses (RT>500 ms) (20-min PVT),Pre vs post MBT (ANCOVA with attendance covariate),worsens,"Session effect F(1,33)=6.177, p=0.018, eta_p^2=0.158; lapses increased on average (S1 mean 7.60 (SD 3.45) vs S2 mean 8.94 (SD 7.16)). Attendance correlated with lapse change r=-0.348, p=0.04 (higher attendance = fewer lapses).",no,high,no
W2794678572,T2_context,Zanesco 2018 (Journal of Cognitive Enhancement),2018,other,90,Response inhibition accuracy (perceptual sensitivity A) on 32-min RIT sustained attention/response inhibition task,"Retreat 1: pre/mid/post; plus follow-ups (6 mo, 1.5y, 7y); growth-curve parameters",improves,"Growth model (retreat 1 training participants): linear training effect +0.126 (SE 0.017), p<0.01; quadratic training^2 -0.045 (SE 0.008), p<0.01 (Table 2). Authors report improvements during intensive practice partially maintained several years later, moderated by continued practice.",yes,some_concerns,no
W2794678572,T2_context,Zanesco 2018 (Journal of Cognitive Enhancement),2018,other,90,Reaction time variability (RTCV) during RIT,Retreat training + years since retreat (YSR) follow-up slope,mixed,"RTCV decreased during training: linear training -0.0125 (SE 0.004), p<0.01; RTCV increased across years since retreat: linear YSR +0.056 (SE 0.018), p<0.01 (Table 2).",yes,some_concerns,no
W2800765696,T2_context,Swinbourne 2018 (Sports),2018,sleep_timing,21,Psychomotor Vigilance Test (PVT; 5-min): mean reaction time (ms),Pre vs post sleep extension block (start vs end of 3-week intervention),improves,Mean RT 228.8±24.5 ms (pre) -> 220.0±18.4 (post); reported change -4.3% (±3.1%).,no,high,no
W2800765696,T2_context,Swinbourne 2018 (Sports),2018,sleep_timing,21,PVT errors (count),Pre vs post sleep extension block,improves,Errors 2.6±3.0 (pre) -> 0.8±1.1 (post).,no,high,no
W2800765696,T2_context,Swinbourne 2018 (Sports),2018,sleep_timing,21,PVT slowest 10% time,Pre vs post sleep extension block,worsens,Slowest 10% time 3.0±0.5 (pre) -> 3.3±0.5 (post); authors report moderate increase (11.7% ±7.2%).,no,high,no
W2494879164,T2_context,Pagar 2016 (IOSR-JDMS),2016,caffeine,1,"Visual reaction time (ms), red stimulus (VRT-R)","Baseline (non-habitual; >=24h abstinent), 30 min post ~250 mg caffeine",improves,Males: 210.50±3.27 -> 202.80±3.02 ms (p<0.01). Females: 216.50±2.87 -> 208.30±2.06 ms (p<0.001).,no,high,no
W2494879164,T2_context,Pagar 2016 (IOSR-JDMS),2016,caffeine,1,"Auditory reaction time (ms), high pitched stimulus (ART-H)","Baseline (non-habitual; >=24h abstinent), 30 min post ~250 mg caffeine",improves,Males: 194.63±1.73 -> 184.43±1.97 ms (p<0.001). Females: 200.60±3.02 -> 191.50±3.00 ms (p<0.001).,no,high,no
W2494879164,T2_context,Pagar 2016 (IOSR-JDMS),2016,caffeine,180,"Visual reaction time (ms), red stimulus (VRT-R)","After ~6 months daily coffee (200-600 mg/day), 30 min post ~250 mg caffeine",improves,Males: 203.03±1.84 -> 197.16±2.10 ms (p<0.05). Females: 211.80±1.68 -> 205.96±2.10 ms (p<0.05).,yes,high,no
W2494879164,T2_context,Pagar 2016 (IOSR-JDMS),2016,caffeine,180,"Auditory reaction time (ms), high pitched stimulus (ART-H)","After ~6 months daily coffee (200-600 mg/day), 30 min post ~250 mg caffeine",improves,Males: 188.50±1.71 -> 182.66±1.86 ms (p<0.02). Females: 196.93±3.40 -> 190.80±3.45 ms (p<0.02).,yes,high,no
W2256196379,T2_context,Famodu 2014 (WVU MS thesis),2014,sleep_timing,7,PVT mean reaction time (ms),Baseline vs post sleep extension (assessment time not specified),null,Mean reaction time unchanged: 302.7 +/- 20.2 ms -> 302.8 +/- 23.5 ms; p=0.98 (Table 10).,no,high,no
W4237499249,T2_context,Sutarto 2010 (JIEM),2010,biofeedback,~21-35 (5 sessions described as weekly; exact calendar duration not fully specified),D2 attention test: concentration performance,Pre vs post (post measured 1 week after final training),improves,Training group improved: 103.8 (34.68) -> 150.4 (36.70); p=0.003; effect size r^2=0.63. Authors report control showed no improvements.,no,some_concerns,no
W4237499249,T2_context,Sutarto 2010 (JIEM),2010,biofeedback,~21-35,Sternberg short-term memory test: response time (ms),Pre vs post (post measured 1 week after final training),improves,Training group response time decreased: 1853.47 (503.64) ms -> 1397.09 (164.70) ms; p=0.007; effect size r^2=0.56.,no,some_concerns,no
W319466055,T2_context,Rupp 2008 (Walter Reed / DTIC),2008,sleep_timing,7 (pre-restriction sleep extension period),Psychomotor Vigilance Task (PVT) lapses,Across 7-day restriction + 5-day recovery (growth model; group x phase-slope interactions),improves,"Habitual group deteriorated faster during restriction vs extended (RESTRICT x Group coef=0.40, SE=0.17, t=2.35, p=0.01, one-tailed). During recovery, extended recovered rapidly and stabilized while habitual improved gradually (RECOV x Group coef=-0.75, SE=0.39, t=-1.94, p=0.03, one-tailed).",no,some_concerns,no
W1496048461,T2_context,Watson 2002 (Br J Clin Pharmacol),2002,caffeine,7,"Four-choice reaction time (4CRT), 5-min portable test",Post acute caffeine challenge (0-120 min summary),improves,4CRT improved by 0.02±0.01 s after caffeine in both caffeine-naive and caffeine-replete conditions; no between-condition difference reported (authors: cognitive performance not affected by prior exposure).,no,some_concerns,no
